price,milage,model,make,transmission,fuel,Num_Cyl,year,body_style
11999,37704,Sentra,Nissan,Automatic,Gasoline,4,2016,Sedan
12400,52483,Juke,Nissan,Manual,Gasoline,4,2013,SUV
23000,8289,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
14444,34366,Juke,Nissan,Automatic,Gasoline,4,2014,SUV
18450,38889,Prius,Toyota,Automatic,Hybrid,4,2015,Hatchback
20475,40828,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
29377,42854,Highlander,Toyota,Automatic,Gasoline,6,2015,SUV
21665,24660,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
5600,155000,Prius,Toyota,Automatic,Hybrid,4,2009,Hatchback
30800,35394,4Runner,Toyota,Automatic,Gasoline,6,2014,SUV
10998,61149,Juke,Nissan,Automatic,Gasoline,4,2011,SUV
20400,31750,CR-V,Honda,Automatic,Gasoline,4,2014,SUV
23860,17315,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
4900,194000,Odyssey,Honda,Automatic,Gasoline,6,2007,Minivan
25977,30153,CR-V,Honda,Automatic,Gasoline,4,2015,SUV
14890,54735,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
11503,136932,Tundra,Toyota,Automatic,Gasoline,8,2006,Pickup
32995,49300,Tundra,Toyota,Automatic,Flexible-Fuel,8,2013,Pickup
27700,38754,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
25986,35914,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
23556,34952,AccordCrosstour,Honda,Automatic,Gasoline,6,2015,SUV
10700,132381,RAV4,Toyota,Automatic,Gasoline,6,2010,SUV
18497,89468,Odyssey,Honda,Automatic,Gasoline,6,2013,Minivan
12500,45699,Altima,Nissan,Automatic,Gasoline,4,2016,Sedan
16495,69932,CR-V,Honda,Automatic,Gasoline,4,2014,SUV
11995,118893,Tacoma,Toyota,Automatic,Gasoline,6,2005,Pickup
11950,4506,Versa,Nissan,Manual,Gasoline,4,2017,Sedan
6700,129774,Murano,Nissan,Automatic,Gasoline,6,2005,SUV
20912,28055,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
27000,15180,Odyssey,Honda,Automatic,Gasoline,6,2016,Minivan
19687,60605,HR-V,Honda,Automatic,Gasoline,4,2016,SUV
7900,145491,RAV4,Toyota,Automatic,Gasoline,6,2006,SUV
21500,90220,Pilot,Honda,Automatic,Gasoline,6,2013,SUV
7679,135684,Maxima,Nissan,Automatic,Gasoline,6,2009,Sedan
33460,37327,Highlander,Toyota,Automatic,Gasoline,6,2016,SUV
11900,46974,Altima,Nissan,Automatic,Gasoline,4,2015,Sedan
20000,5766,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
13995,69350,RAV4,Toyota,Automatic,Gasoline,4,2010,SUV
15995,55269,Quest,Nissan,Automatic,Gasoline,6,2015,Minivan
18991,53547,Highlander,Toyota,Automatic,Gasoline,4,2013,SUV
20915,34111,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
34622,21372,4Runner,Toyota,Automatic,Gasoline,6,2016,SUV
22844,11363,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
13899,104171,Tundra,Toyota,Automatic,Gasoline,8,2010,Pickup
13900,46818,Altima,Nissan,Automatic,Gasoline,4,2016,Sedan
14500,46849,CR-V,Honda,Automatic,Gasoline,4,2011,SUV
8978,105884,Camry,Toyota,Automatic,Gasoline,4,2011,Sedan
30979,33268,Murano,Nissan,Automatic,Gasoline,6,2015,SUV
22400,12886,RAV4,Toyota,Automatic,Gasoline,4,2016,SUV
32900,15953,Tacoma,Toyota,Manual,Gasoline,6,2016,Pickup
28980,79303,Tundra,Toyota,Automatic,Flexible-Fuel,8,2014,Pickup
14500,41905,Altima,Nissan,Automatic,Gasoline,4,2017,Sedan
13900,25368,Altima,Nissan,Automatic,Gasoline,4,2016,Sedan
4800,178000,Sienna,Toyota,Automatic,Gasoline,6,2009,Minivan
